Make,Model,Meter,ServiceOrderID,Wo Number,Wo Segment,Description,Contract Type,M_Actual_ServiceOrderLaborHrsTotal,Wo Status
JD,470P,7,S100058024980168001,5802498,1,DEPLACEMENT  ALLER/RETOUR B2,C&F,4.50,I
JD,470P,1330,S101615002920161001,161500292,1,DEPLACEMENT BRANDT TRAVEL 3 YRS,C&F,1.50,I
JD,470P,295,S100011019920101002,1101992,2,DETAIL CAB,C&F,3.00,I
JD,470P,3992,S100017014500107005,1701450,5,"DETAIL CAB, DE SMOKE CAB",C&F,3.00,I
JD,470P,663,S100019496020109001,1949602,1,DIAG & REPAIR FOR AFTERTREATMENT CODES,C&F,3.00,I
JD,470P,790,S100019499670109001,1949967,1,DIAG & REPAIR FOR ENGINE MISS,C&F,7.43,I
JD,470P,2026,S100016595860106002,1659586,2,DIAG / REPAIR BOTH TURBOCHARGERS LEAKING OIL,C&F,31.75,I
JD,470P,4271,S100016576830106004,1657683,4,DIAG / REPAIR CHARGE AIR LEAKS,C&F,6.00,I
JD,470P,1703,S100016574720106002,1657472,2,DIAG / REPAIR COOLANT LEAK,C&F,4.03,I
JD,470P,1773,S100016552310106004,1655231,4,DIAG / REPAIR COOLANT LEAK,C&F,0.50,I
JD,470P,2189,S101065011260106002,106501126,2,DIAG / REPAIR DEF CODES,C&F,1.50,I
JD,470P,2589,S101065011320106002,106501132,2,DIAG / REPAIR DEF CONCENTRATION CODES,C&F,1.25,I
JD,470P,2463,S100016596400106002,1659640,2,DIAG / REPAIR ECU CODE # 4366.18 DEF TANK HEAT,C&F,7.25,I
JD,470P,2026,S101065010340106002,106501034,2,DIAG / REPAIR ENGINE FOR COLD OPERATION,C&F,10.75,I
JD,470P,2442,S100016557580106003,1655758,3,DIAG / REPAIR ENGINE OIL LEAKS,C&F,22.00,I
JD,470P,2442,S100016557580106002,1655758,2,DIAG / REPAIR EXHAUST MANIFOLD LEAK,C&F,29.50,I
JD,470P,2534,S101065028160106004,106502816,4,DIAG / REPAIR FUEL LEAK,C&F,1.75,I
JD,470P,6107,S101065030470106002,106503047,2,DIAG / REPAIR FUEL LEAK,C&F,1.25,I
JD,470P,1274,S100016570080106002,1657008,2,DIAG / REPAIR HOOD LATCHES,C&F,3.00,I
JD,470P,2189,S101065011260106003,106501126,3,DIAG / REPAIR LEAK AT TURBO,C&F,0.50,I
JD,470P,2026,S100016595860106003,1659586,3,DIAG / REPAIR LEAKING EXHAUST MANIFOLD GASKET,C&F,19.75,I
JD,470P,2534,S101065028160106002,106502816,2,DIAG / REPAIR LEAKING RH FINAL DRIVE,C&F,14.25,I
JD,470P,2286,S100016582980106002,1658298,2,DIAG / REPAIR NOX CODES 003226.12,C&F,3.75,I
JD,470P,2534,S101065028160106003,106502816,3,DIAG / REPAIR RH PROPEL MOTOR ; LEAKING SHAFT SEAL,C&F,2.00,I
JD,470P,1773,S100016552310106003,1655231,3,DIAG /REPAIR LEAK AT FAN VALVE,C&F,5.50,I
JD,470P,780,S100016559440106002,1655944,2,DIAG /REPAIR LH. TRACK;NOT MAINTAINING TENSION,C&F,13.75,I
JD,470P,2974,S100018518120108003,1851812,3,DIAG AND REPAIR CHARGING SYSTEM,C&F,5.50,I
JD,470P,2527,S101095015590109001,109501559,1,DIAG AND REPAIR DEF CODES,C&F,1.25,I
JD,470P,1178,S100018528810108003,1852881,3,DIAG AND REPAIR DEF LEAK,C&F,4.00,I
JD,470P,2893,S100021529750111001,2152975,1,DIAG AND REPAIR EXHAUST LEAK BETWEEN MANIFOLD SECTIONS,C&F,11.23,I
JD,470P,2355,S100021528230111001,2152823,1,DIAG AND REPAIR HYDRAULIC LEAK AT BOOM CYLINDER BASE,C&F,1.00,I
JD,470P,3468,S100018552780108003,1855278,3,DIAG AND REPAIR HYDRAULIC LEAK AT FAN PUMP,C&F,13.00,I
JD,470P,38,S100018527410108003,1852741,3,DIAG AND REPAIR LEAK ON ROTARY MANIFOLD,C&F,11.00,I
JD,470P,5806,S101085017510108003,108501751,3,DIAG AND REPAIR LEFT FINAL,C&F,19.75,I
JD,470P,2774,S100018516880108003,1851688,3,DIAG AND REPAIR LOW COOLANT TEMP CODE,C&F,14.50,I
JD,470P,2689,S100018512870108004,1851287,4,DIAG AND REPAIR MISTRACKING,C&F,3.50,I
JD,470P,3632,S101085017790108003,108501779,3,DIAG AND REPAIR NO START,C&F,3.00,I
JD,470P,11,S100018502120108003,1850212,3,DIAG AND REPAIR RETURN TO NEUTRAL ALARM,C&F,3.50,I
JD,470P,1027,S100018508230108001,1850823,1,DIAG AND REPAIR STARTER NOT ENGAGING,C&F,18.50,I
JD,470P,430,S100041045450151002,4104545,2,DIAG BACKUP CAMERA NOT FUNCTIONING,C&F,9.00,I
JD,470P,4310,S101515002760151001,151500276,1,DIAG CODE ECU 003361.31,C&F,4.45,I
JD,470P,1057,S100041046420151002,4104642,2,DIAG CODES,C&F,3.00,I
JD,470P,2867,S100018552820108005,1855282,5,DIAG COOLANT CONTAMINATION,C&F,7.50,I
JD,470P,1539,S100018540390108003,1854039,3,DIAG COOLANT IN THE OIL COMPLAINT,C&F,11.50,I
JD,470P,1821,S100018545110108004,1854511,4,DIAG DEF CODE,C&F,2.00,I
JD,470P,3770,S100041055340151002,4105534,2,DIAG DEF CODES,C&F,3.00,I
JD,470P,5050,S100018552020108003,1855202,3,DIAG DEF CODES,C&F,11.50,I
JD,470P,1440,S100041051040151002,4105104,2,DIAG DEF CODES 3517.07 & 3516.07,C&F,3.00,I
JD,470P,1596,S100018542160108003,1854216,3,DIAG DEF FAULTS,C&F,4.50,I
JD,470P,1801,S101095017270109003,109501727,3,DIAG ENGINE KNOCK,C&F,80.42,I
JD,470P,2612,S100018550640108003,1855064,3,DIAG EXHAUST LEAK,C&F,12.00,I
JD,470P,3861,S100018542120108003,1854212,3,DIAG FUEL DOSING CODES,C&F,8.00,I
JD,470P,600,S100018538620108001,1853862,1,DIAG FUEL ISSUES AND CHECK OVER FOR RENTAL,C&F,2.50,I
JD,470P,4776,S100018525690108003,1852569,3,DIAG HIGH LEAD CONTENT OIL SAMPLE,C&F,5.50,I
JD,470P,4,S100018529520108003,1852952,3,DIAG HYDRAULIC LEAK,C&F,5.00,I
JD,470P,2867,S100018552820108004,1855282,4,DIAG LARGE HYDRAULIC LEAK BY COOLERS,C&F,20.00,I
JD,470P,3680,S100018540640108004,1854064,4,DIAG LH FINAL FOR BAD OIL SAMPLE,C&F,4.00,I
JD,470P,2689,S100018512870108003,1851287,3,DIAG LOW ENGINE OIL PRESSURE CODES,C&F,69.25,I
JD,470P,4104,S101515003190151002,151500319,2,DIAG LOW HYD PRESSURE,C&F,20.00,I
JD,470P,2835,S100018515390108003,1851539,3,DIAG LOW OIL PRESSURE CODES,C&F,0.00,I
JD,470P,1197,S100041049760151001,4104976,1,DIAG MACHINE IN DERATE,C&F,16.50,I
JD,470P,2689,S100018516830108004,1851683,4,DIAG NO CAB HEAT,C&F,14.50,I
JD,470P,4224,S101515001380151002,151500138,2,DIAG NO HEAT IN CAB,C&F,22.50,I
JD,470P,429,S100018520540108003,1852054,3,DIAG NO START,C&F,2.00,I
JD,470P,2184,S100018511320108003,1851132,3,DIAG NO START,C&F,9.00,I
JD,470P,2689,S100018516830108003,1851683,3,DIAG NO START,C&F,0.00,I
JD,470P,3686,S100018536820108003,1853682,3,DIAG NO START,C&F,43.00,I
JD,470P,3258,S100018550730108002,1855073,2,DIAG NOISY FINAL DRIVE RH,C&F,32.75,I
JD,470P,2356,S100018529230108003,1852923,3,DIAG NOx SENSOR CODES,C&F,5.00,I
JD,470P,0,S100014464570104002,1446457,2,"DIAG OIL LEAK FROM ENGINE, ENGINE JUST REBUILT",C&F,16.50,I
JD,470P,10,S100016454840106002,1645484,2,DIAG REPAIR FUEL LEAK,C&F,2.75,I
JD,470P,2415,S101065014220106002,106501422,2,DIAG REPAIR HIGH DEF CONCEN CODE 3516.16 ;ENGINE SMOKING,C&F,4.00,I
JD,470P,3680,S100018540640108003,1854064,3,DIAG RH FINAL FOR BAD OIL SAMPLE,C&F,4.75,I
JD,470P,4137,S100018544210108003,1854421,3,DIAG RH TRAVEL GEAR CASE,C&F,28.50,I
JD,470P,0,S100016504640106002,1650464,2,DIAG SLOW SWING LOW POWER,C&F,1.00,I
JD,470P,963,S100018522390108003,1852239,3,DIAG SQUEAL COMING FROM THE RING GEAR,C&F,4.00,I
JD,470P,1821,S100018545110108003,1854511,3,DIAG STARTER CODE,C&F,29.50,I
JD,470P,4731,S100018552810108003,1855281,3,DIAG TURBO ACTUATOR CODES,C&F,5.00,I
JD,470P,3078,S100041051290151002,4105129,2,DIAG TURBO ACTUATOR FAULT CODE ECU 000641.31,C&F,3.00,I
JD,470P,1539,S100018540390108004,1854039,4,DIAG TURBO CODES,C&F,8.50,I
JD,470P,4394,S101515002930151002,151500293,2,DIAG VERY SLOW HYDRAULICS,C&F,18.00,I
JD,470P,2569,S100016563170106005,1656317,5,DIAG/ REPAIR ANOTHER HYDR LEAK,C&F,2.00,I
JD,470P,2873,S100018517720108003,1851772,3,DIAG/ REPAIR DPF CODE,C&F,6.25,I
JD,470P,0,S101065031320106002,106503132,2,DIAG/ESTIMATE REPAIR WIRE HARNESS AT HYD FILTER,C&F,2.00,""
JD,470P,0,S101065031790106002,106503179,2,DIAG/REP A/C NOT WORKING,C&F,4.50,""
JD,470P,6760,S100016595110106002,1659511,2,DIAG/REP BOOM LIFTING ON ITS OWN,C&F,28.00,I
JD,470P,3716,S100016532970106003,1653297,3,DIAG/REP BOOST LEAK,C&F,1.50,I
JD,470P,5294,S100016547790106004,1654779,4,DIAG/REP COOLANT LEAK,C&F,6.00,I
JD,470P,3716,S100016532970106002,1653297,2,DIAG/REP DEF FAULT,C&F,5.25,I
JD,470P,2928,S100016523670106002,1652367,2,DIAG/REP FOR LOW CHARGING VOLTAGE,C&F,4.00,I
JD,470P,2945,S101065017760106002,106501776,2,DIAG/REP LEAK AT BOTTOM OF ROTARY MANIFOLD,C&F,1.95,I
JD,470P,5294,S100016547790106003,1654779,3,DIAG/REP LHR BOTTOM TRACK ROLLER AND GUARD,C&F,0.50,I
JD,470P,2569,S100016563170106003,1656317,3,DIAG/REP LOW POWER ON 470P CX07,C&F,0.50,I
JD,470P,4942,S100016546880106002,1654688,2,DIAG/REP NO START,C&F,7.00,I
JD,470P,4539,S100016537860106002,1653786,2,DIAG/REP OIL IN COOLANT,C&F,2.00,I
JD,470P,4942,S100016541780106008,1654178,8,DIAG/REP SCR FAULT,C&F,3.00,I
JD,470P,2418,S100016519910106002,1651991,2,DIAG/REP SLOW/POOR MULTIFUNCTIONING,C&F,7.50,I
JD,470P,3098,S101065019750106002,106501975,2,DIAG/REP UNIT FOR BUCKET Q/A BUZZER WONT QUIT,C&F,5.75,I
JD,470P,7530,S101065013240106002,106501324,2,DIAG/REP UNIT FOR DERATE,C&F,3.25,I
JD,470P,28,S100016532930106002,1653293,2,DIAG/REP UNIT FOR DRIFTING/NOT ENOUGH LIFTING POWER,C&F,0.75,I
JD,470P,6760,S100016595110106003,1659511,3,DIAG/REP UNIT FOR THUMB OPERATING ON ITS OWN,C&F,4.50,I
JD,470P,2944,S101065015900106003,106501590,3,DIAG/REP UNIT FOR WHITE SMOKE AT STARTUP,C&F,22.50,I
JD,470P,1810,S100016514690106002,1651469,2,DIAG/REP WEAK HYD POWER,C&F,5.50,I
JD,470P,3208,S100016527830106002,1652783,2,DIAG/REP WEAK HYDRAULIC POWER,C&F,2.50,I
JD,470P,6681,S100016594250106003,1659425,3,DIAG/REPAIR A/C,C&F,2.00,I
JD,470P,1663,S100019482160109001,1948216,1,DIAG/REPAIR AC NOT BLOWING COLD,C&F,5.50,I
JD,470P,1267,S100014469300104002,1446930,2,DIAG/REPAIR ACTIVE DTC 003251.03,C&F,3.50,I
JD,470P,1200,S101045024100104002,104502410,2,DIAG/REPAIR ACTIVE DTC'S,C&F,3.50,I
JD,470P,3756,S100014464000104002,1446400,2,DIAG/REPAIR ACTIVE DTC'S,C&F,1.00,I
JD,470P,2279,S101045018860104002,104501886,2,DIAG/REPAIR ACTIVE DTCS / ENGINE DERATE,C&F,5.75,I
JD,470P,4675,S100016579450106002,1657945,2,DIAG/REPAIR ALT FAILURE,C&F,1.75,I
JD,470P,2569,S100016565850106004,1656585,4,DIAG/REPAIR BATTERY LIGHT ON,C&F,4.00,I
JD,470P,2217,S101045015530104003,104501553,3,DIAG/REPAIR BELT NOISE POSSIBLE REWORK,C&F,13.75,I
JD,470P,1437,S100016504860106002,1650486,2,DIAG/REPAIR BROKEN GREASE SYSTEM ON BUCKET,C&F,7.00,I
JD,470P,1330,S100016552720106002,1655272,2,DIAG/REPAIR CODE 3516.14,C&F,4.00,I
JD,470P,1846,S100016550350106002,1655035,2,DIAG/REPAIR CODES,C&F,5.25,I
JD,470P,485,S100016484760106002,1648476,2,DIAG/REPAIR CODES  # 000647.16,C&F,2.50,I
JD,470P,3824,S100014467070104002,1446707,2,DIAG/REPAIR CONTAMINATION IN COOLANT,C&F,13.50,I
JD,470P,2569,S100016565850106002,1656585,2,DIAG/REPAIR COOLANT LEAKING FORM CAB,C&F,16.50,I
JD,470P,851,S100016488140106002,1648814,2,DIAG/REPAIR COOLANT LEAKS,C&F,0.75,I
JD,470P,2886,S100018546680108003,1854668,3,DIAG/REPAIR COOLANT PUMP LEAK,C&F,8.50,I
JD,470P,923,S100016577680106002,1657768,2,DIAG/REPAIR COOLANT USE,C&F,15.50,I
JD,470P,1085,S100016553420106002,1655342,2,DIAG/REPAIR DEF CODES,C&F,2.00,I
JD,470P,1295,S100016552990106002,1655299,2,DIAG/REPAIR DEF CODES ; SEE DTAC SOLN # 220642,C&F,1.25,I
JD,470P,1089,S100016553000106002,1655300,2,DIAG/REPAIR DEF CODES 3516.01; SEE DTAC SOLN # 220642,C&F,0.50,I
JD,470P,108,S100016508590106002,1650859,2,DIAG/REPAIR ECU CODE # 004366.18 LOW DEF TEMP,C&F,3.50,I
JD,470P,1081,S100016548420106002,1654842,2,DIAG/REPAIR ECU CODE # 4366.18,C&F,1.50,I
JD,470P,1773,S100018524930108003,1852493,3,DIAG/REPAIR ECU FAULT CODES,C&F,7.00,I
JD,470P,876,S100016563560106002,1656356,2,DIAG/REPAIR EGR CODES 2659.17,C&F,1.75,I
JD,470P,987,S100016537210106002,1653721,2,DIAG/REPAIR ENGINE COOLANT LEAKS,C&F,5.50,I
JD,470P,0,S100016553270106002,1655327,2,DIAG/REPAIR ENGINE OIL LEAK,C&F,0.75,I
JD,470P,3680,S101085017000108003,108501700,3,DIAG/REPAIR ENGINE OIL LEAK,C&F,63.00,I
JD,470P,5012,S101045031200104002,104503120,2,DIAG/REPAIR ENGINE OVER HEAT ISSUE,C&F,25.35,I
JD,470P,6681,S100016594250106007,1659425,7,DIAG/REPAIR FAILED LATCHES,C&F,1.00,I
JD,470P,1832,S100016569640106002,1656964,2,DIAG/REPAIR FINAL LEAK,C&F,17.25,I
JD,470P,1278,S100017922810107001,1792281,1,DIAG/REPAIR FOR AIR THROTTLE CODES,C&F,1.75,I
JD,470P,1191,S100017919540107001,1791954,1,DIAG/REPAIR FOR BOOM FUNCTION LAG,C&F,1.25,I
JD,470P,186,S100017900190107001,1790019,1,DIAG/REPAIR FOR CODE 647.16,C&F,2.00,I
JD,470P,1231,S100017954620107001,1795462,1,DIAG/REPAIR FOR CODE ISSUES,C&F,0.75,I
JD,470P,491,S100017957670107001,1795767,1,DIAG/REPAIR FOR CODES,C&F,3.25,I
JD,470P,759,S100017966160107001,1796616,1,DIAG/REPAIR FOR CODES,C&F,3.00,I
JD,470P,159,S100017943110107002,1794311,2,DIAG/REPAIR FOR DIFFERENTAIL PRESSURE CODE 3251.07,C&F,5.00,I
JD,470P,159,S100017943110107001,1794311,1,DIAG/REPAIR FOR ENGINE CODES,C&F,5.75,I
JD,470P,3169,S100017021560107001,1702156,1,DIAG/REPAIR FOR ENGINE OIL LEAK,C&F,1.25,I
JD,470P,169,S100017945640107001,1794564,1,DIAG/REPAIR FOR EXHAUST FILTER RESTRICTION CODES,C&F,9.75,I
JD,470P,3389,S100017014780107001,1701478,1,DIAG/REPAIR FOR HYD LEAK,C&F,2.00,I
JD,470PLC,155,S100017941030107001,1794103,1,DIAG/REPAIR FOR REGEN ISSUE,C&F,7.00,I
JD,470PLC,4461,S100017961110107001,1796111,1,DIAG/REPAIR FOR ROUGH RUNNING ENGINE,C&F,4.25,I
JD,470PLC,19,S100017928630107001,1792863,1,DIAG/REPAIR FOR WABASTO CODES,C&F,1.25,I
JD,470P,2442,S100016557580106005,1655758,5,DIAG/REPAIR FRONT COVER LEAK,C&F,1.25,I
JD,470P,312,S100016533540106002,1653354,2,DIAG/REPAIR GRADDING QUALITY ISSUE,C&F,1.50,I
JD,470P,118,S100019483330109001,1948333,1,DIAG/REPAIR HORN NOT WORKING,C&F,2.50,I
JD,470P,2569,S100016563170106002,1656317,2,DIAG/REPAIR HYD LEAK,C&F,2.00,I
JD,470P,851,S100016488140106003,1648814,3,DIAG/REPAIR HYD LEAKS,C&F,0.50,I
JD,470P,361,S100019480740109001,1948074,1,DIAG/REPAIR HYDAULIC OIL LEAK ON ENGINE,C&F,1.75,I
JD,470P,1321,S100016548360106002,1654836,2,DIAG/REPAIR HYDRAULIC LEAK,C&F,1.25,I
JD,470P,276,S100014457230104002,1445723,2,DIAG/REPAIR HYDRAULIC LEAK FROM UNDER UNIT,C&F,3.25,I
JD,470P,4889,S101045031680104002,104503168,2,DIAG/REPAIR IRRATIC HYDRAULIC OPERATIONS,C&F,10.00,I
JD,470P,2498,S100016594420106002,1659442,2,DIAG/REPAIR LEAK,C&F,4.50,I
JD,470P,6663,S100016594020106003,1659402,3,DIAG/REPAIR LEAK,C&F,2.00,I
JD,470P,6681,S100016594250106005,1659425,5,DIAG/REPAIR LEAK AT HYD PUMP,C&F,1.25,I
JD,470P,6681,S100016594250106006,1659425,6,DIAG/REPAIR LEAK AT HYD PUMP,C&F,1.00,I
JD,470P,3263,S101085010640108003,108501064,3,DIAG/REPAIR LEAK AT TURBO,C&F,4.50,I
JD,470P,614,S100016581200106002,1658120,2,DIAG/REPAIR LEAK AT VALVE,C&F,2.00,I
JD,470P,2300,S101065029550106002,106502955,2,DIAG/REPAIR LEAKING FILTER HEAD,C&F,2.00,I
JD,470P,1300,S100016531660106002,1653166,2,DIAG/REPAIR LEAKING FUEL PRIMER PUMP,C&F,0.75,I
JD,470P,1902,S101065025050106002,106502505,2,DIAG/REPAIR LEAKS AT FACTORY BREAKER SELECTOR VALVE,C&F,6.75,I
JD,470P,530,S100019482760109001,1948276,1,DIAG/REPAIR MACHINE NOT HOLDING ON HILL,C&F,5.00,I
JD,470P,60,S100016545670106004,1654567,4,DIAG/REPAIR NO START,C&F,4.75,I
JD,470P,2217,S101045023270104002,104502327,2,DIAG/REPAIR NO START,C&F,4.50,I
JD,470P,2689,S100018512870108005,1851287,5,DIAG/REPAIR NO START,C&F,5.50,I
JD,470P,4870,S101085011860108003,108501186,3,DIAG/REPAIR OIL IN COOLANT,C&F,13.25,I
JD,470P,6681,S100016594250106004,1659425,4,DIAG/REPAIR OIL LEAK,C&F,10.75,I
JD,470P,1773,S100016552310106002,1655231,2,DIAG/REPAIR OIL LEAK AT A/C COMPRESSOR,C&F,2.25,I
JD,470P,1773,S100016552310106005,1655231,5,DIAG/REPAIR OIL LEAK AT TURBO,C&F,0.50,I
JD,470P,1647,S100016548670106002,1654867,2,DIAG/REPAIR OIL LEAK FROM COOLER AREA,C&F,7.00,I
JD,470P,2048,S101085012600108003,108501260,3,DIAG/REPAIR REGEN CODES,C&F,2.00,I
JD,470P,5294,S100016549620106003,1654962,3,DIAG/REPAIR REGEN ISSUE,C&F,13.50,I
JD,470P,6663,S100016594020106002,1659402,2,DIAG/REPAIR REGEN ISSUE,C&F,5.00,I
JD,470P,4942,S101045032780104002,104503278,2,DIAG/REPAIR REVERSE FAN INNOP,C&F,3.25,I
JD,470P,638,S100016556540106002,1655654,2,DIAG/REPAIR RH TRACK; LOOSES TENSION,C&F,1.25,I
JD,470P,255,S100016558120106002,1655812,2,DIAG/REPAIR SCR FAULT,C&F,2.50,I
JD,470P,5294,S100016549620106004,1654962,4,DIAG/REPAIR SCR FAULT,C&F,6.50,I
JD,470P,60,S100016545670106005,1654567,5,DIAG/REPAIR SEAT HEATER,C&F,0.75,I
JD,470P,312,S100016535000106002,1653500,2,DIAG/REPAIR SMART GRADE ISSUE,C&F,0.25,I
JD,470P,4441,S100014470260104002,1447026,2,DIAG/REPAIR SMARTGRADE,C&F,11.75,I
JD,470P,408,S100016560500106002,1656050,2,DIAG/REPAIR TURBO CODES,C&F,12.50,I
JD,470P,60,S100016545670106003,1654567,3,DIAG/REPAIR TWIST BUCKET SLOW,C&F,1.50,I
JD,470P,1046,S101045018610104002,104501861,2,"DIAG/REPAIR UNIT DOES NOT WANT TO REGEN, LIGHT ON",C&F,3.00,I
JD,470P,2245,S101085013740108003,108501374,3,DIAG/REPAIR VGT CODES,C&F,5.00,I
JD,470P,530,S100019482760109003,1948276,3,DIAG/REPAIR WIPERS NOT WORKING,C&F,1.00,I
JD,470P,6302,S100016591470106002,1659147,2,DIAG/REPARI LOW VOLTAGE,C&F,5.50,I
JD,470P,2303,S100045093370155002,4509337,2,DIAGNOIS ENGINE CODE COMING UP,C&F,2.50,I
JD,470P,185,S100024913840114002,2491384,2,DIAGNOSE & REPAIR AIR THROTTLE ACTUATOR CODE 003464.07,C&F,1.75,I
JD,470P,1582,S100024935660114002,2493566,2,DIAGNOSE & REPAIR AUX CIRCUIT NOT WORKING WITH ATTACHMENTS,C&F,6.25,I
JD,470P,855,S100024924050114002,2492405,2,DIAGNOSE & REPAIR BATTERY CHARGING LIGHT ON DASH,C&F,5.50,I
JD,470P,1868,S100024897580114002,2489758,2,DIAGNOSE & REPAIR CODES - SEE LIST ON NEXT PAGE,C&F,15.25,I
JD,470P,3758,S101145010010114002,114501001,2,DIAGNOSE & REPAIR DEF CONCENTRATION INVALID,C&F,10.25,I
JD,470P,1868,S100024897580114005,2489758,5,DIAGNOSE & REPAIR DEF HEADER LEVEL CODE,C&F,2.00,I
JD,470P,2611,S101145011120114002,114501112,2,DIAGNOSE & REPAIR ENGINE FOR CONSUMING COOLANT,C&F,2.75,I
JD,470P,680,S100024918870114001,2491887,1,DIAGNOSE & REPAIR ENGINE OIL LEAKING AROUND BOTTOM OF ENGINE,C&F,94.75,I
JD,470P,788,S100024864150114003,2486415,3,DIAGNOSE & REPAIR FAN REVERSER SWITCH CODE - 000647.16,C&F,0.75,I
JD,470P,2634,S100024927920114002,2492792,2,DIAGNOSE & REPAIR FUEL LEAKING FROM FILTER HEAD,C&F,1.75,I
JD,470P,2634,S100024927920114003,2492792,3,DIAGNOSE & REPAIR FUEL TRANSFER PUMP SOUNDING WEAK,C&F,2.00,I
JD,470P,1582,S100024935660114003,2493566,3,DIAGNOSE & REPAIR HYDRAULIC LEAK ON PUMP,C&F,0.75,I
JD,470P,197,S100024857720114002,2485772,2,DIAGNOSE & REPAIR LOSS OF COOLANT,C&F,3.25,I
JD,470P,1868,S100024897580114003,2489758,3,DIAGNOSE & REPAIR LOW COOLANT LEVEL CODE,C&F,2.00,I
JD,470P,788,S100024864150114002,2486415,2,DIAGNOSE & REPAIR LOW COOLANT LEVEL CODE - 000111.01,C&F,3.25,I
JD,470P,3149,S101145010730114002,114501073,2,DIAGNOSE & REPAIR MULTIPLE FUEL DOSING CODES,C&F,13.50,I
JD,470P,3151,S100024939630114002,2493963,2,DIAGNOSE & REPAIR NO START & AIR FILTER RESTRICTED CODE,C&F,3.50,I
JD,470P,422,S100024911980114002,2491198,2,"DIAGNOSE & REPAIR NO START, ROUGH RUN PRIOR TO DYING",C&F,5.25,I
JD,470P,1629,S100024939800114002,2493980,2,DIAGNOSE & REPAIR NOX CODE 003226.12,C&F,3.25,I
JD,470P,185,S100024913840114004,2491384,4,DIAGNOSE & REPAIR OIL LEAK FROM CENTER OF MACHINE,C&F,3.25,I
JD,470P,561,S100024916730114002,2491673,2,DIAGNOSE & REPAIR PILOT AUTO-LOCK LIGHT COMING ON CONSTANTLY,C&F,5.25,I
JD,470P,3151,S100024939630114003,2493963,3,DIAGNOSE & REPAIR PROLONGED START,C&F,71.25,I
JD,470P,1708,S100024940770114002,2494077,2,DIAGNOSE & REPAIR SMOKING FROM ENGINE COMPARTMENT,C&F,1.25,I
JD,470P,1868,S100024897580114004,2489758,4,DIAGNOSE & REPAIR TURBO TEMP CODE,C&F,1.75,I
JD,470P,2983,S100014357210104004,1435721,4,DIAGNOSE A/C NOT WORKING,C&F,4.25,I
JD,470P,2799,S100024925810114004,2492581,4,DIAGNOSE AFTERMARKET CAMERA SYSTEM,C&F,0.75,I
BESL,470P,8,S100050159090160001,5015909,1,DIAGNOSE AND REPAIR BRANDT COUPLER ISSUES SN - 156951,C&F,12.00,I
JD,470P,0,S100014398110104002,1439811,2,DIAGNOSE AND REPAIR CODE 4366.18,C&F,0.50,I
JD,470P,495,S100019490200109001,1949020,1,DIAGNOSE AND REPAIR COOLANT LEAK,C&F,1.50,I
JD,470P,19,S100017928770107001,1792877,1,DIAGNOSE AND REPAIR COOLANT LEAKING,C&F,2.50,I
JD,470P,1025,S100050153330160001,5015333,1,DIAGNOSE AND REPAIR COUPLER NOT WORKING,C&F,9.75,I
JD,470P,15,S100014281760104003,1428176,3,DIAGNOSE AND REPAIR FOR 647.16 REVERSING FAN SWITCH CODE,C&F,2.00,I
JD,470P,939,S100014300050104002,1430005,2,DIAGNOSE AND REPAIR FOR ACTIVE SMARTGRAD 518139.1,C&F,7.25,I
JD,470P,3974,S100014444430104002,1444443,2,DIAGNOSE AND REPAIR FOR BOOM LIFTS WHEN AUTOMATICS TURNED ON,C&F,8.00,I
JD,470P,939,S100014300050104003,1430005,3,DIAGNOSE AND REPAIR FOR CAN COMMUNICATION ERRORS,C&F,2.50,I
JD,470P,306,S100014303260104002,1430326,2,DIAGNOSE AND REPAIR FOR CODE 3480.07,C&F,4.25,I
JD,470P,603,S100014397240104002,1439724,2,DIAGNOSE AND REPAIR FOR CODE 4334.11,C&F,2.25,I
JD,470P,916,S100014299800104002,1429980,2,DIAGNOSE AND REPAIR FOR CODE 647.16,C&F,3.50,I
JD,470P,652,S100014319770104002,1431977,2,DIAGNOSE AND REPAIR FOR CODES,C&F,3.50,I
JD,470P,1464,S100017916250107001,1791625,1,DIAGNOSE AND REPAIR FOR COOLANT LEAK,C&F,3.75,I
JD,470P,2611,S100014428610104002,1442861,2,DIAGNOSE AND REPAIR FOR COOLANT TANK DARK,C&F,2.75,I
JD,470P,854,S100014435180104002,1443518,2,DIAGNOSE AND REPAIR FOR CRANK CASE OVER FULL,C&F,31.75,I
JD,470P,6983,S101075007230107002,107500723,2,DIAGNOSE AND REPAIR FOR DEF CODES AND DERATE,C&F,3.75,I
JD,470P,1366,S100014339060104003,1433906,3,DIAGNOSE AND REPAIR FOR DERATE CODE,C&F,4.25,I
JD,470P,2853,S100014407740104002,1440774,2,DIAGNOSE AND REPAIR FOR EGR CODE 2659.04,C&F,3.25,I
JD,470P,1961,S100014398090104002,1439809,2,DIAGNOSE AND REPAIR FOR FUEL COOLER LEAKING,C&F,3.50,I
JD,470P,1366,S100014339060104002,1433906,2,DIAGNOSE AND REPAIR FOR FUEL LEAK,C&F,7.50,I
JD,470P,697,S100014332940104002,1433294,2,DIAGNOSE AND REPAIR FOR LOW COOLANT PRESSURE FAULT CODE,C&F,2.75,I
JD,470P,2480,S100014422050104002,1442205,2,DIAGNOSE AND REPAIR FOR LOW COOLANT TEMP CODE,C&F,7.00,I
