Make,Model,Meter,ServiceOrderID,Wo Number,Wo Segment,Description,Contract Type,M_Actual_ServiceOrderLaborHrsTotal,Wo Status
JD,470P,933,S100017974420107001,1797442,1,1000 HOUR SERVICE AS PER PM AGREEMENT,C&F,3.50,I
JD,470P,998,S100019471540109001,1947154,1,1000 HOUR SERVICE AS PER PM AGREEMENT,C&F,6.00,I
JD,470P,1035,S100017018890107001,1701889,1,1000 HOUR SERVICE AS PER PM AGREEMENT,C&F,5.75,I
JD,470P,1004,S100033951450148001,3395145,1,1000 HR,C&F,6.00,I
JD,470P,978,S100043209200153001,4320920,1,1000 HR PM,C&F,6.50,I
JD,470P,1034,S100019502050109001,1950205,1,1000 HR PM,C&F,5.25,I
JD,470P,952,S100043243330153002,4324333,2,1000 HR PM TRAVEL,C&F,2.25,I
JD,470P,997,S100047104210157002,4710421,2,1000 HR SERVICE,C&F,4.50,I
JD,470P,1226,S100016583020106001,1658302,1,1000 HR SERVICE,C&F,8.50,I
JD,470P,2080,S100013719430103004,1371943,4,1000 HR SERVICE AND CHANGE FINAL DRIVE OILS,C&F,8.25,I
JD,470P,1185,S100019484890109001,1948489,1,1000 HRS SERVICE PARTS,C&F,0.00,I
JD,470P,952,S100043243330153001,4324333,1,1000HR PM SERVICE,C&F,7.25,I
JD,470P,983,S100033717540148001,3371754,1,1000HR PM SERVICE,C&F,5.75,I
JD,470P,1148,S100043228410153001,4322841,1,1000HR PM SERVICE,C&F,9.50,I
JD,470P,1318,S100043246460153001,4324646,1,1000HR PM SERVICE,C&F,15.00,I
JD,470P,3331,S100043311960153001,4331196,1,1000HR PM SERVICE,C&F,5.25,I
JD,470P,1005,S100043286510153002,4328651,2,1000HR PM TRAVEL,C&F,1.50,I
JD,470P,1148,S100043228410153002,4322841,2,1000HR PM TRAVEL,C&F,2.25,I
JD,470P,1318,S100043246460153002,4324646,2,1000HR PM TRAVEL,C&F,1.50,I
JD,470P,1003,S100045083340155002,4508334,2,1000HR SERVICE,C&F,4.00,I
JD,470P,1005,S100049076030159002,4907603,2,1000HR SERVICE,C&F,7.25,I
JD,470P,945,S100033717910148001,3371791,1,1000HR SERVICE (SN F_00001-) NO FILTERS,C&F,4.25,I
JD,470P,1437,S100033770750148001,3377075,1,1000HR SERVICE (SN F_00001-) NO FILTERS,C&F,8.00,I
JD,470P,1002,S100019480320109001,1948032,1,1000HR SERVICE AS PER PM AGREEMENT,C&F,5.50,I
JD,470P,1589,S100019491470109001,1949147,1,1500HR PM,C&F,3.50,I
JD,470P,620,S100043213600153001,4321360,1,1ST 500 HR PM,C&F,5.50,I
JD,470P,1447,S100035526070143001,3552607,1,2 SERVICE CALL TO REPAIR A/C (SEE NOTES BELOW FOR CHARGES),C&F,7.25,I
JD,470P,1788,S100016557450106002,1655745,2,2000 HOUR SERVICE,C&F,8.75,I
JD,470P,1947,S101625011170162002,162501117,2,2000 HOUR SERVICE,C&F,6.50,I
JD,470P,1951,S101785001720178002,178500172,2,2000 HOUR SERVICE,C&F,6.00,I
JD,470P,1957,S101785001850178002,178500185,2,2000 HOUR SERVICE,C&F,6.00,I
JD,470P,2000,S100033654690148001,3365469,1,2000 HOUR SERVICE,C&F,6.50,I
JD,470P,2026,S100033777320148001,3377732,1,2000 HOUR SERVICE,C&F,8.00,I
JD,470P,2050,S100047123220157002,4712322,2,2000 HOUR SERVICE,C&F,5.75,I
JD,470P,2072,S100033775050148001,3377505,1,2000 HOUR SERVICE,C&F,8.00,I
JD,470P,2077,S101785000280178002,178500028,2,2000 HOUR SERVICE,C&F,6.00,I
JD,470P,2079,S101535013680153001,153501368,1,2000 HOUR SERVICE,Compact Construction Equipment,8.00,I
JD,470P,2422,S100033720030148001,3372003,1,2000 HOUR SERVICE,C&F,5.50,I
JD,470P,7862,S100033776470148001,3377647,1,2000 HOUR SERVICE,C&F,7.00,I
JD,470P,2000,S100019498700109002,1949870,2,2000 HR SERVICE,C&F,10.75,I
JD,470P,2013,S100019498610109001,1949861,1,2000 HR SERVICE,C&F,11.00,I
JD,470P,2165,S101575002850157002,157500285,2,2000 HR SERVICE,C&F,5.75,I
JD,470P,2451,S100029283830119002,2928383,2,2000 HR SERVICE,C&F,5.00,I
JD,470P,2012,S100033718470148001,3371847,1,2000HR SERVICE (SN F_00001-) NO FILTERS NO VALVE SET,C&F,5.75,I
JD,470P,2049,S100033771060148001,3377106,1,2000HR SERVICE (SN F_00001-) NO FILTERS NO VALVE SET,C&F,9.25,I
JD,470P,375,S100019480450109004,1948045,4,20LB EXTINGUISHER,C&F,1.25,I
JD,470P,9,S100016413690106006,1641369,6,20LB FIRE EXT,C&F,1.00,I
JD,470P,980,S100015640170105001,1564017,1,23TX112A - EXC TRAVEL MOTOR COUNT,C&F,6.00,I
JD,470P,2893,S100043290640153001,4329064,1,23TX112A - EXC TRAVEL MOTOR COUNT,C&F,22.51,I
JD,470P,3144,S100045103040155002,4510304,2,23TX112A - EXC TRAVEL MOTOR COUNT,C&F,8.00,I
JD,470P,4222,S100016561660106002,1656166,2,23TX112A - EXC TRAVEL MOTOR COUNT,C&F,10.00,I
JD,470P,1,S100011972060101001,1197206,1,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,1.25,I
JD,470P,4,S100013690550103001,1369055,1,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,0.50,I
JD,470P,5,S100011972070101001,1197207,1,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,1.00,I
JD,470P,5,S100055103000165006,5510300,6,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,2.25,I
JD,470P,7,S100053043150163001,5304315,1,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,0.75,I
JD,470P,96,S100047086770157001,4708677,1,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,1.00,I
JD,470P,163,S100014407160104001,1440716,1,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,0.50,I
JD,470P,236,S100016529000106002,1652900,2,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,1.00,I
JD,470P,297,S100019464990109001,1946499,1,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,0.50,I
JD,470P,313,S100019464980109001,1946498,1,23TX126B - EXCAVATOR FUEL PUMP UP,C&F,0.75,I
